instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 10 16500 10 10 71.0 17.0 981.8280828082809 0.0
wuf20-02 10 8100 10 10 71.0 15.5 927.4430738999033 0.0
wuf20-03 10 16620 10 10 71.0 16.0 958.3241262976334 0.0
wuf20-04 10 16320 10 10 71.0 15.5 940.7781780144918 0.0
wuf20-05 10 8100 10 10 71.0 15.2 927.741181464848 0.0
wuf20-06 10 8460 10 10 71.0 15.666666666666666 970.5728238038072 0.0
wuf20-07 10 8976 10 10 71.0 15.571428571428571 956.3594879809208 0.0
wuf20-08 10 8100 10 10 71.0 15.5 952.3230414446649 0.0
wuf20-09 10 8370 10 10 71.0 15.666666666666666 964.3056340376 0.0
wuf20-010 10 8490 10 10 71.0 15.9 986.7170885137883 0.0
wuf20-011 10 8430 10 10 71.0 15.909090909090908 995.2010158965214 0.0
wuf20-012 10 7830 10 10 71.0 15.666666666666666 969.617112836174 0.0
wuf20-013 10 8100 10 10 71.0 15.538461538461538 960.8099532354114 0.0
wuf20-014 10 8220 10 10 71.0 15.571428571428571 959.4945491515653 0.0
wuf20-015 10 15900 10 10 71.0 15.533333333333333 948.6454734758389 0.0
wuf20-016 10 8280 10 10 71.0 15.5625 953.3441213253166 0.0
wuf20-017 10 8490 10 10 71.0 15.705882352941176 966.0483399248343 0.0
wuf20-018 10 8340 10 10 71.0 15.722222222222221 969.5654191363988 0.0
wuf20-019 10 8250 10 10 71.0 15.736842105263158 971.1488356147948 0.0
wuf20-020 10 8280 10 10 71.0 15.75 974.3354079185615 0.0
wuf20-021 10 8190 10 10 71.0 15.761904761904763 973.3448276648852 0.0
wuf20-022 10 16080 10 10 71.0 15.727272727272727 966.8873813052058 0.0
wuf20-023 10 8130 10 10 71.0 15.73913043478261 965.2724580762981 0.0
wuf20-024 10 7800 10 10 71.0 15.583333333333334 954.1443140918656 0.0
wuf20-025 10 8370 10 10 71.0 15.64 958.1807415141964 0.0
wuf20-026 10 8130 10 10 71.0 15.615384615384615 957.1877041571778 0.0
wuf20-027 10 8220 10 10 71.0 15.62962962962963 957.6896320168255 0.0
wuf20-028 10 7920 10 10 71.0 15.535714285714286 950.4282035303833 0.0
wuf20-029 10 8070 10 10 71.0 15.482758620689655 948.0965312769546 0.0
wuf20-030 10 8340 10 10 71.0 15.5 951.1990352362358 0.0
wuf20-031 10 24660 10 10 71.0 15.451612903225806 951.0772067570813 0.0
wuf20-032 10 8370 10 10 71.0 15.5 955.2839578578189 0.0
wuf20-033 10 31800 10 10 71.0 15.454545454545455 948.4076201111436 0.0
wuf20-034 10 8370 10 10 71.0 15.5 952.8752722070376 0.0
wuf20-035 10 8400 10 10 71.0 15.514285714285714 957.8078190304806 0.0
wuf20-036 10 8340 10 10 71.0 15.555555555555555 960.54362717169 0.0
wuf20-037 10 8310 10 10 71.0 15.567567567567568 962.7497705124584 0.0
wuf20-038 10 8040 10 10 71.0 15.526315789473685 959.589312794784 0.0
wuf20-039 10 8160 10 10 71.0 15.512820512820513 958.1274054393201 0.0
wuf20-040 10 8130 10 10 71.0 15.475 955.7082545214378 0.0
wuf20-041 10 8490 10 10 71.0 15.536585365853659 961.5489969244171 0.0
wuf20-042 10 8220 10 10 71.0 15.523809523809524 961.5358514192022 0.0
wuf20-043 10 7920 10 10 71.0 15.488372093023257 957.8997687613634 0.0
wuf20-044 10 8010 10 10 71.0 15.454545454545455 954.7082880735809 0.0
wuf20-045 10 8190 10 10 71.0 15.466666666666667 954.1542390545546 0.0
wuf20-046 10 8160 10 10 71.0 15.478260869565217 953.6244812241337 0.0
wuf20-047 10 8310 10 10 71.0 15.48936170212766 955.8594714361889 0.0
wuf20-048 10 8430 10 10 71.0 15.520833333333334 959.5736904145125 0.0
wuf20-049 10 8250 10 10 71.0 15.53061224489796 960.5349840131549 0.0
wuf20-050 10 8100 10 10 71.0 15.5 958.72695672491 0.0
wuf20-051 10 8340 10 10 71.0 15.529411764705882 960.6940939541081 0.0
wuf20-052 10 8460 10 10 71.0 15.557692307692308 964.942777352608 0.0
wuf20-053 10 8460 10 10 71.0 15.60377358490566 969.0061440232776 0.0
wuf20-054 10 24030 10 10 71.0 15.574074074074074 965.464190726438 0.0
wuf20-055 10 8160 10 10 71.0 15.563636363636364 964.9119966240936 0.0
wuf20-056 10 8220 10 10 71.0 15.553571428571429 964.9615631320794 0.0
wuf20-057 10 8520 10 10 71.0 15.596491228070175 969.1635369588231 0.0
wuf20-058 10 8160 10 10 71.0 15.586206896551724 968.5836027063757 0.0
wuf20-059 10 8340 10 10 71.0 15.59322033898305 969.8403432499636 0.0
wuf20-060 10 8580 10 10 71.0 15.633333333333333 974.2693935963226 0.0
wuf20-061 10 16740 10 10 71.0 15.639344262295081 975.2935287978529 0.0
wuf20-062 10 15840 10 10 71.0 15.612903225806452 971.1415632359377 0.0
wuf20-063 10 8160 10 10 71.0 15.619047619047619 970.6463408966174 0.0
wuf20-064 10 24480 10 10 71.0 15.59375 968.2368266761439 0.0
wuf20-065 10 8310 10 10 71.0 15.615384615384615 969.4569189989329 0.0
wuf20-066 10 8520 10 10 71.0 15.636363636363637 972.4820799699253 0.0
wuf20-067 10 8070 10 10 71.0 15.626865671641792 971.4732227075945 0.0
wuf20-068 10 8340 10 10 71.0 15.647058823529411 972.8780982527753 0.0
wuf20-069 10 8340 10 10 71.0 15.666666666666666 974.4009572488112 0.0
wuf20-070 10 8310 10 10 71.0 15.67142857142857 975.0654565823945 0.0
wuf20-071 10 8130 10 10 71.0 15.661971830985916 973.7964601637105 0.0
wuf20-072 10 8130 10 10 71.0 15.666666666666666 972.8329586925973 0.0
wuf20-073 10 8520 10 10 71.0 15.712328767123287 976.4325046742601 0.0
wuf20-074 10 8400 10 10 71.0 15.72972972972973 978.1761080533189 0.0
wuf20-075 10 16080 10 10 71.0 15.706666666666667 976.0906342209688 0.0
wuf20-076 10 8160 10 10 71.0 15.68421052631579 975.5712139293302 0.0
wuf20-077 10 7950 10 10 71.0 15.688311688311689 973.3281751220527 0.0
wuf20-078 10 8040 10 10 71.0 15.679487179487179 971.7971494683774 0.0
wuf20-079 10 8040 10 10 71.0 15.670886075949367 970.6118686622304 0.0
