instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf50-01 10 9390 10 10 218.0 25.0 2217.721672167216 0.0
wuf50-02 10 9720 10 10 218.0 27.0 2484.4172694921867 0.0
wuf50-03 10 9900 10 10 218.0 30.0 2675.7379497764 0.0
wuf50-04 10 9450 10 10 218.0 28.5 2572.674151987474 0.0
wuf50-05 10 9780 10 10 218.0 30.0 2603.572966449792 0.0
wuf50-06 10 9690 10 10 218.0 29.666666666666668 2619.9130548635803 0.0
wuf50-07 10 41538 10 8 218.0 29.7 2600.865993267836 0.0016618851025120708
wuf50-08 10 9540 10 10 218.0 29.1125 2582.1327441093567 0.0
wuf50-09 10 9330 10 10 218.0 28.766666666666666 2529.074384053594 0.0
wuf50-010 10 9630 10 10 218.0 28.89 2533.45147753426 0.0
wuf50-011 10 9720 10 10 218.0 28.9 2553.228615940236 0.0
wuf50-012 10 9450 10 10 218.0 28.825 2528.4875257413273 0.0
wuf50-013 10 35520 10 9 218.0 28.838461538461537 2517.4901354647013 2.6290300262903E-4
wuf50-014 10 28440 10 10 218.0 28.707142857142856 2498.663360897876 0.0
wuf50-015 10 53592 10 6 218.0 28.846666666666668 2477.014956419975 0.01618767744184888
wuf50-016 10 29700 10 10 218.0 29.16875 2510.279698211385 0.0
wuf50-017 10 27180 10 10 218.0 28.570588235294117 2462.1314263111612 0.0
wuf50-018 10 28710 10 10 218.0 28.705555555555556 2460.403736143892 0.0
wuf50-019 10 9570 10 10 218.0 28.61578947368421 2462.5461716626933 0.0
wuf50-020 10 39816 10 10 218.0 28.535 2449.7658927825296 0.0
wuf50-021 10 9420 10 10 218.0 28.461904761904762 2440.2039358157267 0.0
wuf50-022 10 9540 10 10 218.0 28.35 2439.0720037396954 0.0
wuf50-023 10 20223 10 10 218.0 28.508695652173913 2439.717364078367 0.0
wuf50-024 10 9780 10 10 218.0 28.6125 2456.8564324709587 0.0
wuf50-025 10 19200 10 10 218.0 28.508 2457.958518287246 0.0
wuf50-026 10 18960 10 10 218.0 28.45 2451.912970136417 0.0
wuf50-027 10 30039 10 10 218.0 28.544444444444444 2453.7226477745376 0.0
wuf50-028 10 44415 10 10 218.0 28.560714285714287 2441.0931626919732 0.0
wuf50-029 10 19500 10 10 218.0 28.610344827586207 2445.8482595182722 0.0
wuf50-030 10 9540 10 10 218.0 28.49 2446.0199842009965 0.0
wuf50-031 10 77262 10 6 218.0 28.677419354838708 2450.1196817906684 0.016320628480165755
wuf50-032 10 9210 10 10 218.0 28.5 2431.439516791145 0.0
wuf50-033 10 18900 10 10 218.0 28.484848484848484 2424.8429844744 0.0
wuf50-034 10 56700 10 9 218.0 28.46470588235294 2410.3417600605 0.0025131195335276967
wuf50-035 10 19020 10 10 218.0 28.422857142857143 2407.2725307985343 0.0
wuf50-036 10 9570 10 10 218.0 28.383333333333333 2409.1800595705604 0.0
wuf50-037 10 53631 10 9 218.0 28.181081081081082 2390.017789642565 0.002273179137119756
wuf50-038 10 49449 10 7 218.0 28.07894736842105 2372.042185377925 0.0024921364626179533
wuf50-039 10 28710 10 10 218.0 28.102564102564102 2371.4655068845927 0.0
wuf50-040 10 28980 10 10 218.0 28.225 2375.934903695237 0.0
wuf50-041 10 9180 10 10 218.0 28.048780487804876 2364.3544897279007 0.0
wuf50-042 10 9780 10 10 218.0 28.095238095238095 2375.9462136998973 0.0
wuf50-043 10 46746 10 7 218.0 28.065116279069766 2370.547143774238 0.008032692676074324
wuf50-044 10 29340 10 10 218.0 28.2 2377.897561353037 0.0
wuf50-045 10 38130 10 8 218.0 28.06222222222222 2368.4400676524724 0.004363431627841509
wuf50-046 10 29667 10 8 218.0 28.082608695652173 2364.0318502897144 7.767732076913281E-4
wuf50-047 10 18600 10 10 218.0 27.974468085106384 2356.698083849217 0.0
wuf50-048 10 9660 10 10 218.0 27.975 2362.310695608107 0.0
wuf50-049 10 9570 10 10 218.0 27.955102040816328 2363.8912655077297 0.0
wuf50-050 10 9450 10 10 218.0 27.916 2362.3906815768864 0.0
wuf50-051 10 9600 10 10 218.0 28.015686274509804 2364.558758738564 0.0
wuf50-052 10 42255 10 8 218.0 27.984615384615385 2358.5672441474376 0.004515778019586507
wuf50-053 10 9570 10 10 218.0 27.947169811320755 2361.258181350085 0.0
wuf50-054 10 20664 10 10 218.0 28.04074074074074 2371.23609318732 0.0
wuf50-055 10 10527 10 10 218.0 28.04 2372.650662096233 0.0
wuf50-056 10 48828 10 10 218.0 28.00357142857143 2367.969984385234 0.0
wuf50-057 10 19380 10 10 218.0 28.021052631578947 2372.5369972841963 0.0
wuf50-058 10 43992 10 10 218.0 27.951724137931034 2362.9439488295698 0.0
wuf50-059 10 174303 7 4 217.9915254237288 27.938983050847458 2347.674488584874 0.01712813346143768
wuf50-060 10 9750 10 10 217.99166666666667 27.956666666666667 2355.233029039922 0.0
wuf50-061 10 9630 10 10 217.99180327868854 27.957377049180327 2359.02911696588 0.0
wuf50-062 10 28800 10 10 217.99193548387098 27.974193548387095 2358.840827017831 0.0
wuf50-063 10 9210 10 10 217.9920634920635 27.87936507936508 2352.1935983439093 0.0
wuf50-064 10 37680 10 9 217.9921875 27.88125 2348.53135174402 1.7386264850767892E-4
wuf50-065 10 19341 10 10 217.9923076923077 27.806153846153848 2339.9567778568758 0.0
wuf50-066 10 38280 10 10 217.99242424242425 27.793939393939393 2340.7515394491165 0.0
wuf50-067 10 20196 10 10 217.99253731343285 27.677611940298508 2333.8859135055013 0.0
wuf50-068 10 38280 10 10 217.99264705882354 27.68235294117647 2333.9706839943683 0.0
wuf50-069 10 9810 10 10 217.9927536231884 27.730434782608697 2342.206282688147 0.0
wuf50-070 10 38280 10 10 217.99285714285713 27.72 2343.7736250125845 0.0
wuf50-071 10 9630 10 10 217.99295774647888 27.76619718309859 2345.9535177908583 0.0
wuf50-072 10 29250 10 10 217.99305555555554 27.83888888888889 2349.598079532515 0.0
wuf50-073 10 9540 10 10 217.9931506849315 27.827397260273973 2350.781247280746 0.0
wuf50-074 10 39237 10 9 217.99324324324326 27.802702702702703 2351.57843321121 4.327902240325866E-4
wuf50-075 10 9870 10 10 217.99333333333334 27.858666666666668 2360.6382054309697 0.0
wuf50-076 10 19320 10 10 217.9934210526316 27.88684210526316 2361.387234532902 0.0
wuf50-077 10 9450 10 10 217.9935064935065 27.84935064935065 2360.6029847337736 0.0
wuf50-078 10 9870 10 10 217.99358974358975 27.88974358974359 2369.454228519238 0.0
wuf50-079 10 29250 10 10 217.99367088607596 27.954430379746835 2371.7037604036354 0.0
wuf50-080 10 55854 10 7 217.99375 27.98625 2371.5062656633977 0.005945727312840124
wuf50-081 10 29574 10 9 217.99382716049382 27.985185185185184 2370.9807011498947 1.9827908716797603E-4
wuf50-082 10 49113 10 8 217.9939024390244 28.04390243902439 2368.920513284252 5.537536587295309E-4
wuf50-083 10 9720 10 10 217.99397590361446 28.06746987951807 2373.2216262806596 0.0
wuf50-084 10 9390 10 10 217.99404761904762 28.042857142857144 2371.008559798887 0.0
wuf50-085 10 19620 10 10 217.99411764705883 28.089411764705883 2377.0480163817006 0.0
wuf50-086 10 9720 10 10 217.99418604651163 28.111627906976743 2380.5778850835254 0.0
wuf50-087 10 9630 10 10 217.99425287356323 28.110344827586207 2382.8231150479223 0.0
wuf50-088 10 28080 10 10 217.9943181818182 28.063636363636363 2379.9996974830374 0.0
wuf50-089 10 39600 10 10 217.9943820224719 28.141573033707864 2385.4748604170063 0.0
wuf50-090 10 28620 10 10 217.99444444444444 28.14 2384.6084009289675 0.0
wuf50-091 10 28800 10 10 217.9945054945055 28.16043956043956 2385.2420431305177 0.0
wuf50-092 10 28350 10 10 217.9945652173913 28.13695652173913 2381.8795402148803 0.0
wuf50-093 10 9510 10 10 217.99462365591398 28.113978494623655 2381.5451747263737 0.0
wuf50-094 10 9660 10 10 217.99468085106383 28.112765957446808 2384.4124829747325 0.0
wuf50-095 10 9690 10 10 217.99473684210525 28.122105263157895 2387.7465021028315 0.0
wuf50-096 10 19320 10 10 217.99479166666666 28.1625 2389.734908097941 0.0
wuf50-097 10 37920 10 10 217.99484536082474 28.150515463917525 2388.3857271676993 0.0
wuf50-098 10 37200 10 9 217.99489795918367 28.129591836734694 2383.27369858851 0.00177153329260843
wuf50-099 10 43470 10 10 217.9949494949495 28.118181818181817 2380.871382890086 0.0
wuf50-0100 10 9690 10 10 217.995 28.107 2384.072669061185 0.0
