instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 40950 40 40 71.0 15.502985074626865 683.3100060789968 0.0
wuf20-02 40 33810 40 40 71.0 15.50049504950495 683.7564207444509 0.0
wuf20-03 40 49572 40 40 71.0 15.502955665024631 684.1330781648952 0.0
wuf20-04 40 33120 40 40 71.0 15.500490196078431 684.3194715253085 0.0
wuf20-05 40 65052 40 38 71.0 15.493048780487804 683.7482113710225 0.003840018231540565
wuf20-06 40 39600 40 39 71.0 15.50509708737864 683.4233407073317 0.001090416126370388
wuf20-07 40 56925 40 40 71.0 15.502657004830917 683.5312067902469 0.0
wuf20-08 40 74851 40 17 71.0 15.493028846153846 683.1160232772814 0.003910961333806315
wuf20-09 40 32400 40 40 71.0 15.500239234449761 683.0941077948692 0.0
wuf20-010 40 39600 40 40 71.0 15.512142857142857 682.8126488134261 0.0
wuf20-011 40 48478 40 39 71.0 15.509597156398105 682.3903840163583 0.0012738853503184715
wuf20-012 40 43818 40 39 71.0 15.497759433962264 682.5169362695739 0.0015469935785172213
wuf20-013 40 33360 40 40 71.0 15.500117370892019 683.4593724652216 0.0
wuf20-014 40 41850 40 40 71.0 15.502453271028036 684.0636860394102 0.0
wuf20-015 40 59220 40 40 71.0 15.500116279069767 684.2592927492705 0.0
wuf20-016 40 49320 40 40 71.0 15.497800925925926 684.2712437456362 0.0
wuf20-017 40 31680 40 40 71.0 15.509331797235022 684.1560809746032 0.0
wuf20-018 40 47502 40 26 71.0 15.505619266055046 684.1370943612388 0.004863518197573658
wuf20-019 40 57732 40 30 71.0 15.503538812785388 683.9033754025855 0.00812776042227728
wuf20-020 40 48321 40 37 71.0 15.505113636363637 683.8231422044993 0.003429546865301056
wuf20-021 40 58368 40 40 71.0 15.507352941176471 683.6636863124464 0.0
wuf20-022 40 42000 40 40 71.0 15.505067567567568 683.8992779730454 0.0
wuf20-023 40 16620 40 40 71.0 15.51177130044843 684.4686407295574 0.0
wuf20-024 40 70570 40 25 71.0 15.499107142857143 684.5691550133719 0.008682594767752268
wuf20-025 40 24480 40 40 71.0 15.505777777777778 684.9433147779399 0.0
wuf20-026 40 67311 40 37 71.0 15.502876106194691 684.607767030294 0.0023203125
wuf20-027 40 38839 40 40 71.0 15.505066079295155 684.5379006187186 0.0
wuf20-028 40 69193 40 34 71.0 15.49780701754386 684.4357045267546 0.005303030303030303
wuf20-029 40 53130 40 35 71.0 15.490720524017467 684.2155358510863 0.0059594755661501785
wuf20-030 40 37122 40 35 71.0 15.488913043478261 683.8999918580714 0.004000309501702259
wuf20-031 40 58800 40 38 71.0 15.486796536796536 684.1632453065695 4.3939002326182476E-4
wuf20-032 40 40200 40 40 71.0 15.493318965517242 684.0435098327696 0.0
wuf20-033 40 60277 40 34 71.0 15.483261802575107 684.0222979666978 2.1102982554867754E-4
wuf20-034 40 40500 40 40 71.0 15.48974358974359 683.8368139908547 0.0
wuf20-035 40 80300 40 29 71.0 15.488191489361702 682.9311859802518 0.026346305031446544
wuf20-036 40 32926 40 40 71.0 15.494597457627119 682.872646810968 0.0
wuf20-037 40 61608 40 21 71.0 15.492299578059072 682.420979888588 0.0017964071856287427
wuf20-038 40 64867 40 38 71.0 15.486029411764706 682.3510789652913 0.0027336385671963372
wuf20-039 40 57753 40 34 71.0 15.480439330543932 682.2263980766098 6.644518272425248E-4
wuf20-040 40 67971 40 17 71.0 15.470104166666667 682.033261610497 0.031874483897605284
wuf20-041 40 39900 40 40 71.0 15.480601659751038 681.929538682802 0.0
wuf20-042 40 57540 40 40 71.0 15.482747933884298 681.885191359876 0.0
wuf20-043 40 34051 40 40 71.0 15.468415637860081 682.4220891376192 0.0
wuf20-044 40 52080 40 34 71.0 15.462090163934427 682.2279901614752 0.0037447108603667137
wuf20-045 40 41400 40 40 71.0 15.464285714285714 682.3342952109078 0.0
wuf20-046 40 56925 40 37 71.0 15.466158536585366 682.43959590984 0.0017579617834394905
wuf20-047 40 80392 40 11 71.0 15.463056680161943 681.9345816640493 0.04177224969097652
wuf20-048 40 41097 40 40 71.0 15.465221774193548 681.6335698931359 0.0
wuf20-049 40 48935 40 38 71.0 15.463353413654618 681.4731326031435 3.3736294630306435E-4
wuf20-050 40 75060 40 29 71.0 15.4572 681.2430677489701 0.019348540896013157
wuf20-051 40 41107 40 28 71.0 15.452191235059761 681.224403899606 0.013315629742033383
wuf20-052 40 55440 40 40 71.0 15.458333333333334 680.7518463300571 0.0
wuf20-053 40 39600 40 40 71.0 15.468379446640316 680.5216121179777 0.0
wuf20-054 40 42420 40 37 71.0 15.46259842519685 680.6359851742875 5.289532293986637E-4
wuf20-055 40 57960 40 39 71.0 15.457058823529412 680.9080110782063 0.0016747237569060772
wuf20-056 40 49344 40 38 71.0 15.4513671875 680.7308181916667 0.00230142566191446
wuf20-057 40 23490 40 40 71.0 15.461284046692606 680.6318100052612 0.0
wuf20-058 40 64584 40 28 71.0 15.459496124031007 680.6223171079032 0.002318702290076336
wuf20-059 40 56295 40 21 71.0 15.453764478764478 680.2285264947558 0.005696629213483144
wuf20-060 40 38700 40 40 71.0 15.463557692307692 679.8528723219254 0.0
wuf20-061 40 40853 40 40 71.0 15.461781609195402 679.8574768142134 0.0
wuf20-062 40 53463 40 35 71.0 15.455248091603053 680.0136600588565 0.006665462427745665
wuf20-063 40 33120 40 40 71.0 15.45731939163498 680.4164008868323 0.0
wuf20-064 40 50040 40 40 71.0 15.45558712121212 680.6002915116376 0.0
wuf20-065 40 40650 40 40 71.0 15.461415094339623 680.6421684282684 0.0
wuf20-066 40 38954 40 40 71.0 15.4671992481203 680.2755516034358 0.0
wuf20-067 40 41700 40 40 71.0 15.465449438202247 680.9174187126639 0.0
wuf20-068 40 48983 40 40 71.0 15.471175373134328 680.9803261491619 0.0
wuf20-069 40 56700 40 40 71.0 15.47685873605948 680.9872334824893 0.0
wuf20-070 40 48600 40 40 71.0 15.478796296296297 680.7483165109334 0.0
wuf20-071 40 52333 40 37 71.0 15.466789667896679 680.8149470762 0.0017383570504527813
wuf20-072 40 57339 40 40 71.0 15.46875 680.8835459369822 0.0
wuf20-073 40 46980 40 40 71.0 15.481684981684982 680.8315830376482 0.0
wuf20-074 40 32481 40 40 71.0 15.483576642335766 680.6760581773058 0.0
wuf20-075 40 71982 40 21 71.0 15.475181818181818 680.4285046465121 0.014682121531436599
wuf20-076 40 59640 40 37 71.0 15.46965579710145 680.6040920390977 0.0060757169792597
wuf20-077 40 42450 40 40 71.0 15.471570397111913 681.1275328884298 0.0
wuf20-078 40 57334 40 38 71.0 15.469784172661871 681.1378998713508 7.842832738002795E-4
wuf20-079 40 33480 40 40 71.0 15.468100358422939 681.7526663736418 0.0
wuf20-080 40 40853 40 40 71.0 15.473571428571429 681.9635742328543 0.0
wuf20-081 40 48600 40 40 71.0 15.479003558718862 681.949845611149 0.0
wuf20-082 40 32760 40 40 71.0 15.477304964539007 682.3897397756485 0.0
wuf20-083 40 41922 40 34 71.0 15.47809187279152 682.2207558378653 0.0030394304490690034
wuf20-084 40 39450 40 38 71.0 15.476672535211268 682.249011028853 0.001921826751178287
wuf20-085 40 40350 40 40 71.0 15.48201754385965 682.2385789272391 0.0
wuf20-086 40 41850 40 40 71.0 15.480332167832168 682.3547122522608 0.0
wuf20-087 40 57540 40 39 71.0 15.482142857142858 682.4594351580009 7.423076923076923E-4
wuf20-088 40 40200 40 40 71.0 15.487413194444445 682.479579989039 0.0
wuf20-089 40 60279 40 40 71.0 15.482266435986158 682.7043037948633 0.0
wuf20-090 40 32160 40 40 71.0 15.494396551724138 683.0671588539024 0.0
wuf20-091 40 49140 40 38 71.0 15.492525773195876 682.9982200458046 9.565608822867432E-4
wuf20-092 40 39150 40 40 71.0 15.504537671232876 682.9412718290267 0.0
wuf20-093 40 76650 40 8 71.0 15.498720136518772 682.7619274490664 0.04895809610567068
wuf20-094 40 56712 40 37 71.0 15.500170068027211 682.7139477418787 0.0016289515578803732
wuf20-095 40 56086 40 29 71.0 15.501864406779662 682.5189502708944 0.002518200262561165
wuf20-096 40 40800 40 40 71.0 15.510304054054053 682.9364858748802 0.0
