instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 22260 40 38 71.0 15.501732673267327 677.5781427967535 6.548175865294669E-5
wuf20-02 40 20094 40 40 71.0 15.496813725490195 678.5184136369929 0.0
wuf20-03 40 29353 40 26 71.0 15.50509708737864 679.1686027834011 0.019401520726024035
wuf20-04 40 16080 40 40 71.0 15.500240384615385 679.5819558690338 0.0
wuf20-05 40 33660 40 36 71.0 15.485 678.4875780016396 0.008306745670009117
wuf20-06 40 20544 40 39 71.0 15.508490566037736 677.8973526606851 0.00255216314982907
wuf20-07 40 28843 40 27 71.0 15.503504672897197 678.0954264928254 0.009450658902850137
wuf20-08 40 39525 40 2 71.0 15.491203703703704 677.3169273208883 0.009183221000354735
wuf20-09 40 17721 40 39 71.0 15.504816513761467 677.3208022423863 0.0011754269239299178
wuf20-010 40 19248 40 40 71.0 15.5275 676.8359560555631 0.0
wuf20-011 40 26568 40 32 71.0 15.520045045045045 676.0192549251888 0.01396641574985524
wuf20-012 40 22304 40 37 71.0 15.497544642857143 676.2960905483599 0.004640980735551664
wuf20-013 40 16779 40 39 71.0 15.501769911504425 678.1253104260392 2.923292797006548E-4
wuf20-014 40 22542 40 40 71.0 15.506140350877192 679.3065136445966 0.0
wuf20-015 40 30791 40 39 71.0 15.501739130434782 679.7121591973596 2.2530980097634247E-4
wuf20-016 40 29245 40 30 71.0 15.498706896551724 679.683737553145 0.015200992555831261
wuf20-017 40 13824 40 40 71.0 15.520085470085471 679.5093545179212 0.0
wuf20-018 40 22110 40 5 71.0 15.513135593220339 679.400771853768 0.024385290294627392
wuf20-019 40 33610 40 19 71.0 15.507563025210084 678.9722412331716 0.015264461919638048
wuf20-020 40 26928 40 37 71.0 15.510833333333334 678.8631033112929 0.00399337885371405
wuf20-021 40 34170 40 30 71.0 15.510743801652893 678.5051215574473 0.020130347944917477
wuf20-022 40 22644 40 39 71.0 15.50655737704918 678.973682695661 4.019980970504281E-4
wuf20-023 40 7889 40 40 71.0 15.51869918699187 680.0459874922465 0.0
wuf20-024 40 37117 40 19 71.0 15.494959677419354 680.2413804546387 0.012486652429257873
wuf20-025 40 10197 40 40 71.0 15.507 680.9494902273273 0.0
wuf20-026 40 36984 40 36 71.0 15.501785714285715 680.3726424212902 0.0037031250000000003
wuf20-027 40 21456 40 35 71.0 15.504330708661417 680.247112508615 0.006466133180908831
wuf20-028 40 39071 40 28 71.0 15.490234375 680.0660948335087 0.01157089765580332
wuf20-029 40 30957 40 32 71.0 15.477325581395348 679.6725724532474 0.013364123957091778
wuf20-030 40 21483 40 35 71.0 15.474615384615385 679.1452341714946 0.0048514391829155065
wuf20-031 40 31161 40 18 71.0 15.468129770992366 679.5279334996043 0.02118118376841561
wuf20-032 40 23546 40 39 71.0 15.479545454545455 679.3414602271706 0.002244718309859155
wuf20-033 40 28255 40 21 71.0 15.464473684210526 679.3372499138051 6.823297692740576E-4
wuf20-034 40 19899 40 40 71.0 15.475932835820895 679.0483081056344 0.0
wuf20-035 40 46653 40 34 71.0 15.476481481481482 677.5519069759466 0.013875786163522011
wuf20-036 40 15147 40 40 71.0 15.487683823529412 677.4898778219235 0.0
wuf20-037 40 32521 40 14 71.0 15.483941605839416 676.7291385862952 0.006240151276394582
wuf20-038 40 36057 40 29 71.0 15.473188405797101 676.588717201124 0.0153851333153784
wuf20-039 40 30652 40 12 71.0 15.466906474820144 676.393457749531 0.005426356589147286
wuf20-040 40 37026 40 15 71.0 15.449821428571429 676.0370823550847 0.04616707954858244
wuf20-041 40 21888 40 39 71.0 15.467375886524822 675.8993521051696 6.385608349354573E-4
wuf20-042 40 34320 40 39 71.0 15.470774647887325 675.8461377131489 0.004259308866863113
wuf20-043 40 14800 40 40 71.0 15.446503496503496 676.8007196267037 0.0
