instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 13969 40 39 71.0 15.49679700499168 679.8779644977718 2.806361085126286E-4
wuf20-02 40 12750 40 40 71.0 15.495971760797342 680.0334591888067 0.0
wuf20-03 40 16632 40 20 71.0 15.497636815920398 680.1315381064948 0.02771645818003433
wuf20-04 40 10200 40 40 71.0 15.496812913907284 680.2011172216963 0.0
wuf20-05 40 20451 40 30 71.0 15.493677685950413 679.9949161715198 0.02453281677301732
wuf20-06 40 12384 40 40 71.0 15.497813531353135 679.8917844501538 0.0
wuf20-07 40 16934 40 29 71.0 15.496952224052718 679.9213863722913 0.011197517621820408
wuf20-08 40 22440 40 5 71.0 15.494161184210526 679.7793506944878 0.009941468605888612
wuf20-09 40 11880 40 34 71.0 15.496387520525452 679.7691569739801 0.007327012641383898
wuf20-010 40 11520 40 40 71.0 15.500491803278688 679.6777119981062 0.0
wuf20-011 40 15210 40 30 71.0 15.49885433715221 679.52217454786 0.016557614360162128
wuf20-012 40 14076 40 35 71.0 15.494771241830065 679.5635275759576 0.007734967892586106
wuf20-013 40 10608 40 39 71.0 15.495554649265905 679.8953944750599 2.923292797006548E-4
wuf20-014 40 14535 40 40 71.0 15.496376221498371 680.1118229487839 0.0
wuf20-015 40 18474 40 32 71.0 15.49548780487805 680.1823119514112 0.0036636312429590688
wuf20-016 40 17336 40 25 71.0 15.494967532467532 680.166648614465 0.023776674937965255
wuf20-017 40 9696 40 39 71.0 15.498987034035656 680.1325348381645 2.468152866242038E-4
wuf20-018 40 14220 40 8 71.0 15.497208737864078 680.1191236487955 0.01684087954939342
wuf20-019 40 19255 40 18 71.0 15.496809369951535 680.0302522950196 0.020440590326403104
wuf20-020 40 16830 40 30 71.0 15.496814516129032 679.9994135348562 0.01143182288433685
wuf20-021 40 19597 40 30 71.0 15.496819645732689 679.9278320494466 0.020130347944917477
wuf20-022 40 14637 40 36 71.0 15.495940514469453 680.0112682918518 0.005632730732635585
wuf20-023 40 6130 40 40 71.0 15.498354735152487 680.2213098719244 0.0
wuf20-024 40 22155 40 17 71.0 15.49354967948718 680.2547233060664 0.016984783769353973
wuf20-025 40 6187 40 40 71.0 15.49596 680.3963239120441 0.0
wuf20-026 40 21406 40 34 71.0 15.494928115015975 680.2784079830789 0.00646875
wuf20-027 40 12914 40 33 71.0 15.495414673046252 680.2507198346726 0.008731066018862532
wuf20-028 40 22563 40 18 71.0 15.492157643312101 680.2008789816488 0.023813607775871937
wuf20-029 40 18462 40 34 71.0 15.489546899841017 680.1262481160439 0.007151370679380214
wuf20-030 40 13464 40 19 71.0 15.489166666666666 680.0006207772373 0.021386567626121934
wuf20-031 40 18207 40 23 71.0 15.487916006339145 680.0827391400198 0.017769449470147324
wuf20-032 40 13698 40 37 71.0 15.490308544303797 680.043439224145 0.001738556338028169
wuf20-033 40 18164 40 19 71.0 15.487203791469195 680.0413627129427 7.597073719752394E-4
wuf20-034 40 12028 40 39 71.0 15.489471608832808 679.9776652052843 0.0015038713519952352
wuf20-035 40 26178 40 27 71.0 15.488307086614173 679.6365313782042 0.042207154088050314
wuf20-036 40 8910 40 40 71.0 15.490683962264152 679.6199895710488 0.0
wuf20-037 40 18513 40 14 71.0 15.489992150706437 679.4520713454361 0.00730381342578002
wuf20-038 40 20604 40 26 71.0 15.487656739811912 679.4106976525703 0.021828709938055486
wuf20-039 40 17336 40 18 71.0 15.4858372456964 679.3615190327191 0.007668881506090806
wuf20-040 40 21012 40 15 71.0 15.4819921875 679.282534427732 0.04264382053399395
wuf20-041 40 12041 40 39 71.0 15.485803432137285 679.2471749623502 6.385608349354573E-4
wuf20-042 40 20200 40 37 71.0 15.486370716510903 679.2213323127135 0.012744441467988213
wuf20-043 40 10660 40 40 71.0 15.48094867807154 679.4283774434099 0.0
wuf20-044 40 16626 40 22 71.0 15.478493788819875 679.3489685474962 0.014386459802538786
wuf20-045 40 12009 40 37 71.0 15.47922480620155 679.3905769119759 0.0029498714652956295
wuf20-046 40 17185 40 17 71.0 15.479411764705882 679.4195852509654 0.016025477707006373
wuf20-047 40 22869 40 4 71.0 15.478941267387944 679.2201085639638 0.05441131025957976
wuf20-048 40 14722 40 25 71.0 15.480324074074074 679.1071214957035 0.002109860823215872
wuf20-049 40 14773 40 35 71.0 15.479352850539291 679.0455036153041 0.004343547933651954
