instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 21720 40 40 71.0 15.489765319426336 679.0701113347708 0.0
wuf20-02 40 16879 40 40 71.0 15.489552562988706 679.111125955609 0.0
wuf20-03 40 27557 40 33 71.0 15.489839339991315 679.1430831593234 0.009890851116016678
wuf20-04 40 16744 40 40 71.0 15.489626736111111 679.161752534553 0.0
wuf20-05 40 30774 40 31 71.0 15.488839479392624 679.1096491588346 0.01817456700091158
wuf20-06 40 16537 40 40 71.0 15.489928447528188 679.0829307910388 0.0
wuf20-07 40 27048 40 35 71.0 15.489716081491114 679.093850560098 0.0020954642966595155
wuf20-08 40 33534 40 19 71.0 15.48883232235702 679.0583574229504 0.003906527137282725
wuf20-09 40 15975 40 40 71.0 15.489486790818535 679.0581310609024 0.0
wuf20-010 40 15750 40 40 71.0 15.490573593073593 679.0342910568453 0.0
wuf20-011 40 26284 40 38 71.0 15.490318044136737 678.9968785047489 0.0031962941517081644
wuf20-012 40 23105 40 35 71.0 15.489230103806229 679.0074871881773 0.009576279431796068
wuf20-013 40 16650 40 40 71.0 15.48945092952875 679.0957917099038 0.0
wuf20-014 40 22200 40 40 71.0 15.489671564390665 679.1535646941871 0.0
wuf20-015 40 28050 40 40 71.0 15.489460043196544 679.1738521948201 0.0
wuf20-016 40 27300 40 36 71.0 15.489291882556131 679.1757458529094 0.004784119106699751
wuf20-017 40 15750 40 40 71.0 15.490375485541648 679.1671593948095 0.0
wuf20-018 40 21312 40 33 71.0 15.490110008628127 679.1681677102517 0.002683600519930676
wuf20-019 40 27014 40 25 71.0 15.489974126778783 679.1466885207464 0.013769794247549283
wuf20-020 40 24299 40 33 71.0 15.490043103448276 679.1398147695023 0.008002276019035795
wuf20-021 40 27846 40 37 71.0 15.49020896165446 679.1249785293159 0.005989172711027016
wuf20-022 40 22320 40 38 71.0 15.489997846683893 679.1492029683088 8.039961941008562E-4
wuf20-023 40 11040 40 40 71.0 15.49064786913474 679.2059046341311 0.0
wuf20-024 40 33202 40 22 71.0 15.489414802065404 679.2168060841701 0.012112920448478377
wuf20-025 40 10995 40 40 71.0 15.490064516129033 679.2553171792042 0.0
wuf20-026 40 30636 40 36 71.0 15.489789337919175 679.224797553016 0.0037031250000000003
wuf20-027 40 19246 40 36 71.0 15.48995487752471 679.2188416701023 0.005065733066590455
wuf20-028 40 33840 40 27 71.0 15.489175257731958 679.2092815998417 0.011742424242424245
wuf20-029 40 27342 40 30 71.0 15.488428510090168 679.1882479930515 0.011918951132300359
wuf20-030 40 18795 40 30 71.0 15.48824034334764 679.1588849235328 0.005416279789538843
wuf20-031 40 28039 40 34 71.0 15.488020163020163 679.1866997272145 0.0014021711036443524
wuf20-032 40 21360 40 40 71.0 15.488668524871356 679.1769218179764 0.0
wuf20-033 40 26928 40 23 71.0 15.487773253321903 679.1763228716995 0.0021595385481147982
wuf20-034 40 16110 40 40 71.0 15.48842116538132 679.1598030451133 0.0
wuf20-035 40 37302 40 33 71.0 15.48830835117773 679.0724005395531 0.01793435534591195
wuf20-036 40 16200 40 40 71.0 15.488955479452056 679.0681383569724 0.0
wuf20-037 40 30240 40 24 71.0 15.488617886178861 679.0237366163049 0.002710368736211788
wuf20-038 40 31773 40 35 71.0 15.487981180496151 679.016904892758 0.006834096417990843
wuf20-039 40 27450 40 24 71.0 15.487516032492518 679.0052817290198 0.0017718715393133997
wuf20-040 40 32051 40 9 71.0 15.486474358974359 678.982955811776 0.0457679603633361
wuf20-041 40 21384 40 37 71.0 15.48745194361384 678.9730439465338 0.0019156825048063718
wuf20-042 40 27300 40 39 71.0 15.487660119555935 678.9693578540886 0.0012791320653629788
wuf20-043 40 17202 40 40 71.0 15.486171574903969 679.0262857215646 0.0
wuf20-044 40 25528 40 25 71.0 15.485473549488054 679.0058024362694 0.010105782792665727
wuf20-045 40 22097 40 40 71.0 15.485692963752665 679.0182830012319 0.0
wuf20-046 40 26763 40 31 71.0 15.485837595907928 679.0294648509882 0.005974522292993632
wuf20-047 40 36585 40 5 71.0 15.485662547933533 678.9755609697804 0.05069530284301606
wuf20-048 40 21240 40 38 71.0 15.485902896081772 678.9449551541727 2.8131477642878293E-4
wuf20-049 40 21855 40 38 71.0 15.48568539804172 678.928517682133 0.0024458813606972165
wuf20-050 40 33534 40 28 71.0 15.485031914893616 678.9020006861089 0.03090834360871353
wuf20-051 40 21614 40 21 71.0 15.484761803487878 678.89823078409 0.02283763277693475
wuf20-052 40 26250 40 40 71.0 15.485406037414966 678.8485886351045 0.0
wuf20-053 40 21262 40 40 71.0 15.486474713132171 678.8246421846311 0.0
wuf20-054 40 21483 40 33 71.0 15.485843245539508 678.8363765628113 0.004936896807720861
wuf20-055 40 27738 40 36 71.0 15.485297239915074 678.864995154768 0.006698895027624309
wuf20-056 40 27163 40 32 71.0 15.484634974533106 678.8448191427664 0.008930753564154785
wuf20-057 40 10380 40 40 71.0 15.4857021637675 678.8348237652275 0.0
wuf20-058 40 30606 40 27 71.0 15.485496183206108 678.834500489187 0.0024809160305343516
wuf20-059 40 26715 40 18 71.0 15.48488766426452 678.7908748726248 0.01035955056179775
wuf20-060 40 20640 40 40 71.0 15.485953389830508 678.75009841783 0.0
wuf20-061 40 21600 40 37 71.0 15.485779330792036 678.7500763886108 0.003465247087183608
wuf20-062 40 25798 40 28 71.0 15.484896274343777 678.7645668049541 0.017431358381502893
wuf20-063 40 16470 40 40 71.0 15.485114261531951 678.809920140127 0.0
wuf20-064 40 22061 40 38 71.0 15.484887901861253 678.8309299893276 6.680584551148226E-4
wuf20-065 40 21600 40 40 71.0 15.485528541226216 678.836370473229 0.0
wuf20-066 40 20358 40 39 71.0 15.486168639053254 678.7958526892603 2.5905118601747816E-4
wuf20-067 40 22200 40 40 71.0 15.485963244613435 678.8688810868425 0.0
wuf20-068 40 21600 40 40 71.0 15.486602618243243 678.8768657703756 0.0
wuf20-069 40 26715 40 40 71.0 15.487241452089489 678.8785380088914 0.0
wuf20-070 40 21882 40 39 71.0 15.487457805907173 678.852134237088 2.892903530523084E-4
wuf20-071 40 26778 40 24 71.0 15.486461408688317 678.858249392639 0.009540750323415267
wuf20-072 40 27600 40 39 71.0 15.4866673693086 678.8665729570554 0.001248569347622516
wuf20-073 40 21149 40 40 71.0 15.48814791403287 678.8614448919307 0.0
wuf20-074 40 16512 40 39 71.0 15.488374052232519 678.844177295889 5.486341296148131E-4
wuf20-075 40 33022 40 18 71.0 15.487442105263158 678.8151224954114 0.019128322210513995
wuf20-076 40 29295 40 32 71.0 15.486763468013468 678.8322339844066 0.01893668750620224
wuf20-077 40 22560 40 40 71.0 15.486979385780396 678.8939777678798 0.0
wuf20-078 40 26778 40 35 71.0 15.486753574432296 678.8957071167704 0.0022519024693275352
wuf20-079 40 16740 40 40 71.0 15.486548970155528 678.9687470692272 0.0
