instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 8029 40 40 71.0 15.493931068931069 680.3450749306942 0.0
wuf20-02 40 6844 40 40 71.0 15.493438123752496 680.4380297146962 0.0
wuf20-03 40 9897 40 24 71.0 15.49431704885344 680.5001418476504 0.023025508952661262
wuf20-04 40 6797 40 39 71.0 15.49382470119522 680.5401696596535 0.002037362086258776
wuf20-05 40 11542 40 30 71.0 15.492064676616915 680.41577864713 0.02439608021877849
wuf20-06 40 8300 40 36 71.0 15.494383697813122 680.3457329970332 0.012242131321466463
wuf20-07 40 10335 40 26 71.0 15.493843098311817 680.3593641998291 0.016572172847073244
wuf20-08 40 13284 40 2 71.0 15.492733134920634 680.2714196447224 0.013036537779354391
wuf20-09 40 6825 40 33 71.0 15.49400396432111 680.2645522554737 0.007665225105344867
wuf20-010 40 7650 40 40 71.0 15.496485148514852 680.2088326212532 0.0
wuf20-011 40 9165 40 32 71.0 15.495697329376855 680.116304824636 0.013155761436016215
wuf20-012 40 9116 40 28 71.0 15.493132411067194 680.1295656221247 0.023657326328079393
wuf20-013 40 6682 40 40 71.0 15.493632773938796 680.3300851486 0.0
wuf20-014 40 8100 40 40 71.0 15.49413214990138 680.4607088095398 0.0
wuf20-015 40 11340 40 25 71.0 15.493546798029557 680.5015426724337 0.005808768306421327
wuf20-016 40 10056 40 28 71.0 15.49318405511811 680.4963197275134 0.01698014888337469
wuf20-017 40 6234 40 39 71.0 15.495599803343167 680.4752785913767 2.786624203821656E-4
wuf20-018 40 8625 40 8 71.0 15.49499017681729 680.460413094247 0.02637023396880416
wuf20-019 40 11169 40 10 71.0 15.494798822374877 680.4018845586074 0.027170634493159547
wuf20-020 40 9977 40 30 71.0 15.494901960784313 680.3775328978707 0.019441858059176496
wuf20-021 40 11249 40 29 71.0 15.494882468168463 680.3322896128282 0.022235362136024384
wuf20-022 40 8505 40 34 71.0 15.494349315068494 680.3813260735277 0.007507136060894386
wuf20-023 40 3537 40 40 71.0 15.495821114369502 680.5088782207453 0.0
wuf20-024 40 12746 40 10 71.0 15.4927978515625 680.5200331823814 0.0298184730379071
wuf20-025 40 5167 40 34 71.0 15.494268292682927 680.6026268782326 0.0046584263689526855
wuf20-026 40 12998 40 22 71.0 15.49303118908382 680.5207204842637 0.022898437499999987
wuf20-027 40 7314 40 34 71.0 15.493305744888023 680.5041425957775 0.00786653329522721
wuf20-028 40 12952 40 18 71.0 15.491293774319066 680.4694845889468 0.029952830188679242
wuf20-029 40 10975 40 27 71.0 15.489528668610301 680.4184403585759 0.015494636471990463
wuf20-030 40 8034 40 22 71.0 15.489441747572815 680.3416298391138 0.020860414732281025
wuf20-031 40 11016 40 20 71.0 15.488603297769156 680.3953115754491 0.012567846988886014
wuf20-032 40 8229 40 38 71.0 15.490043604651163 680.3699862884419 0.0032423708920187796
wuf20-033 40 10449 40 11 71.0 15.488165537270087 680.3619825255645 0.010530388294879015
wuf20-034 40 8541 40 38 71.0 15.489579303675049 680.3214187587307 0.003439547349612865
wuf20-035 40 15600 40 26 71.0 15.488816425120772 680.1116682106717 0.04247248427672956
wuf20-036 40 6786 40 38 71.0 15.490178571428572 680.0992971890915 0.002725054229934924
wuf20-037 40 11090 40 12 71.0 15.489561234329798 679.9937886410311 0.010723290261582103
wuf20-038 40 12069 40 29 71.0 15.48812620423892 679.9714472368798 0.016206571505521142
wuf20-039 40 10096 40 14 71.0 15.487199230028875 679.9394241485713 0.00964147286821705
wuf20-040 40 12474 40 7 71.0 15.485384615384616 679.8833677736432 0.05357830993669146
wuf20-041 40 8262 40 34 71.0 15.487536023054755 679.8569720364986 0.007058500411974732
wuf20-042 40 11408 40 38 71.0 15.48795585412668 679.8437597472184 0.007621216180016073
wuf20-043 40 7136 40 39 71.0 15.484659635666347 679.9658248458854 0.006401288030202087
wuf20-044 40 9841 40 16 71.0 15.483022030651341 679.9144214869658 0.017510578279266574
wuf20-045 40 8029 40 38 71.0 15.483492822966507 679.9403363511373 0.0018059125964010284
wuf20-046 40 10136 40 16 71.0 15.48355640535373 679.9557027006163 0.019012738853503193
wuf20-047 40 13104 40 7 71.0 15.483142311365807 679.8339805082801 0.05070302843016069
wuf20-048 40 8835 40 23 71.0 15.484041030534351 679.763369774759 0.002391175599644655
wuf20-049 40 10056 40 28 71.0 15.483436606291706 679.7167424931347 0.01724065223502952
wuf20-050 40 14256 40 15 71.0 15.481785714285714 679.6292788293905 0.07614056720098643
wuf20-051 40 7839 40 20 71.0 15.481113225499524 679.6149701997632 0.030794764795144154
wuf20-052 40 10480 40 39 71.0 15.482509505703423 679.500494494724 0.005263157894736842
wuf20-053 40 8185 40 40 71.0 15.484900284900284 679.4463654312674 0.0
wuf20-054 40 8626 40 26 71.0 15.483420303605314 679.462776299978 0.01862472160356347
wuf20-055 40 11209 40 27 71.0 15.482559241706161 679.5151812513519 0.02200448895027624
wuf20-056 40 9818 40 22 71.0 15.481107954545454 679.458947295956 0.026537678207739307
wuf20-057 40 4590 40 40 71.0 15.483491012298959 679.4360776336962 0.0
wuf20-058 40 11845 40 10 71.0 15.482868620037808 679.4243208583587 0.01879770992366412
wuf20-059 40 10374 40 10 71.0 15.481846081208687 679.3226028602263 0.01761797752808989
wuf20-060 40 7275 40 37 71.0 15.484221698113208 679.2308870991342 7.815989280928985E-4
wuf20-061 40 8307 40 35 71.0 15.483883129123468 679.2283956237283 0.006568903173965449
