instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 59730 40 40 71.0 15.50656146179402 678.9256089062396 0.0
wuf20-02 40 56218 40 40 71.0 15.504884105960265 679.2387220174796 0.0
wuf20-03 40 81993 40 37 71.0 15.506765676567657 679.4955627121865 0.004157468727005151
wuf20-04 40 44057 40 40 71.0 15.505098684210527 679.6358974522425 0.0
wuf20-05 40 95772 40 39 71.0 15.50016393442623 679.2712414052158 0.001720601640838651
wuf20-06 40 53287 40 40 71.0 15.508333333333333 679.0693651033125 0.0
wuf20-07 40 82386 40 39 71.0 15.506677524429968 679.1554777235793 3.48605577689243E-4
wuf20-08 40 112746 40 11 71.0 15.500568181818181 678.8859060054348 0.005658034764100745
wuf20-09 40 48330 40 40 71.0 15.50542071197411 678.8847726120614 0.0
wuf20-010 40 52500 40 40 71.0 15.513467741935484 678.7076853510254 0.0
wuf20-011 40 74738 40 40 71.0 15.511816720257235 678.4368271678347 0.0
wuf20-012 40 58542 40 40 71.0 15.503766025641026 678.5390064723822 0.0
wuf20-013 40 44261 40 40 71.0 15.50535143769968 679.193053882827 0.0
wuf20-014 40 61050 40 40 71.0 15.506926751592356 679.6184979065811 0.0
wuf20-015 40 83729 40 40 71.0 15.50531746031746 679.7661189565899 0.0
wuf20-016 40 81354 40 38 71.0 15.50363924050633 679.7842792293442 0.001947890818858561
wuf20-017 40 36750 40 40 71.0 15.511514195583596 679.7195998703604 0.0
wuf20-018 40 67196 40 14 71.0 15.508176100628932 679.7104886973685 0.009545602253032928
wuf20-019 40 92174 40 34 71.0 15.5064263322884 679.5729273364069 0.0036141333620596794
wuf20-020 40 72354 40 40 71.0 15.50796875 679.5384539274294 0.0
wuf20-021 40 93366 40 40 71.0 15.5095015576324 679.4420207066611 0.0
wuf20-022 40 61519 40 40 71.0 15.507919254658384 679.6175580180237 0.0
wuf20-023 40 22218 40 40 71.0 15.512538699690403 680.0239035742379 0.0
wuf20-024 40 108300 40 30 71.0 15.504166666666666 680.1146679426375 0.005245595301655099
wuf20-025 40 27150 40 40 71.0 15.50876923076923 680.3874077398609 0.0
wuf20-026 40 104190 40 36 71.0 15.50659509202454 680.1673178242124 0.00309375
wuf20-027 40 57330 40 40 71.0 15.508103975535168 680.1323966431069 0.0
wuf20-028 40 113928 40 30 71.0 15.502743902439024 680.0680785226435 0.008619210977701543
wuf20-029 40 82165 40 40 71.0 15.498176291793314 679.939641032339 0.0
wuf20-030 40 52491 40 39 71.0 15.496742424242424 679.7384669145548 8.820798514391829E-4
wuf20-031 40 89140 40 35 71.0 15.495015105740181 679.9218767286627 0.006170845179632981
wuf20-032 40 64080 40 40 71.0 15.499548192771085 679.8509813631669 0.0
wuf20-033 40 84430 40 28 71.0 15.492942942942943 679.8482997833007 4.220596510973551E-4
wuf20-034 40 53700 40 40 71.0 15.49745508982036 679.7308469325106 0.0
wuf20-035 40 129696 40 31 71.0 15.496492537313433 679.115657284923 0.020902122641509435
wuf20-036 40 38475 40 40 71.0 15.500967261904762 679.0858962276145 0.0
wuf20-037 40 92880 40 22 71.0 15.498813056379822 678.7732177481231 0.005468011345729594
wuf20-038 40 103923 40 39 71.0 15.494378698224851 678.7374854210645 0.0013668192835981686
wuf20-039 40 90585 40 20 71.0 15.491445427728614 678.657261323201 0.00221483942414175
wuf20-040 40 103646 40 24 71.0 15.483235294117646 678.5446199833555 0.02503440682631434
wuf20-041 40 58212 40 40 71.0 15.490615835777126 678.4815449571196 0.0
wuf20-042 40 92820 40 40 71.0 15.492105263157894 678.4602465406798 0.0
wuf20-043 40 39480 40 40 71.0 15.481924198250729 678.8505996159272 0.0
wuf20-044 40 77422 40 29 71.0 15.477325581395348 678.716156983124 0.007609308885754583
wuf20-045 40 55037 40 40 71.0 15.478840579710145 678.8018282013568 0.0
wuf20-046 40 86604 40 30 71.0 15.479913294797688 678.8756360683466 0.007261146496815288
wuf20-047 40 122850 40 12 71.0 15.477305475504323 678.5301809009978 0.03953182941903584
wuf20-048 40 64782 40 38 71.0 15.478951149425287 678.3249594211803 2.8131477642878293E-4
wuf20-049 40 70047 40 39 71.0 15.477578796561605 678.2202827259686 1.6868147315153218E-4
wuf20-050 40 117162 40 26 71.0 15.473285714285714 678.0438532721516 0.031134401972873003
wuf20-051 40 57996 40 22 71.0 15.47136752136752 678.026634316959 0.019973444613050076
wuf20-052 40 84000 40 40 71.0 15.475710227272728 677.6974106296162 0.0
wuf20-053 40 57881 40 40 71.0 15.4828611898017 677.5410513662832 0.0
wuf20-054 40 55800 40 33 71.0 15.47867231638418 677.6255139033086 0.003535634743875279
wuf20-055 40 88458 40 40 71.0 15.47450704225352 677.8329323637404 0.0
wuf20-056 40 80671 40 39 71.0 15.470365168539326 677.7176982433141 3.1568228105906314E-4
wuf20-057 40 31140 40 40 71.0 15.477450980392156 677.6548635543566 0.0
