instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 49320 40 40 71.0 15.48747845570493 678.584704170948 0.0
wuf20-02 40 50490 40 40 71.0 15.487310475534114 678.6174061228178 0.0
wuf20-03 40 49230 40 40 71.0 15.487487082328625 678.6455151379632 0.0
wuf20-04 40 33240 40 40 71.0 15.487319214876033 678.6604985431114 0.0
wuf20-05 40 66960 40 39 71.0 15.486807228915662 678.6225485618927 0.001720601640838651
wuf20-06 40 47610 40 40 71.0 15.487672057811425 678.6015143376876 0.0
wuf20-07 40 49950 40 40 71.0 15.4875042999656 678.6108538992761 0.0
wuf20-08 40 66960 40 26 71.0 15.486666093535076 678.5832808215766 0.0018135863781482797
wuf20-09 40 48870 40 40 71.0 15.487186318322447 678.5832644608428 0.0
wuf20-010 40 47700 40 40 71.0 15.488049828178694 678.564503105941 0.0
wuf20-011 40 48150 40 40 71.0 15.487882171075231 678.5356148501063 0.0
wuf20-012 40 51480 40 40 71.0 15.487027815934066 678.546528708393 0.0
wuf20-013 40 33540 40 40 71.0 15.487203913491246 678.6168031049741 0.0
wuf20-014 40 50400 40 40 71.0 15.487379890185313 678.6628448600287 0.0
wuf20-015 40 50940 40 40 71.0 15.48721269296741 678.6791248887763 0.0
wuf20-016 40 49500 40 40 71.0 15.48704561042524 678.6819237855764 0.0
wuf20-017 40 31800 40 40 71.0 15.487907096331847 678.6752727737979 0.0
wuf20-018 40 49410 40 39 71.0 15.487731322823851 678.6767970325662 3.1141681109185445E-4
wuf20-019 40 63999 40 33 71.0 15.487555669749915 678.66187160416 0.0047425401271140805
wuf20-020 40 51691 40 40 71.0 15.487731164383561 678.6584057017145 0.0
wuf20-021 40 66240 40 40 71.0 15.487906538856556 678.6481095648968 0.0
wuf20-022 40 50580 40 40 71.0 15.487739561943874 678.667725213561 0.0
wuf20-023 40 33360 40 40 71.0 15.48825692781389 678.7129525305161 0.0
wuf20-024 40 68880 40 27 71.0 15.487294801641587 678.7225138162739 0.009123064602242392
wuf20-025 40 32820 40 40 71.0 15.487811965811966 678.7532941883156 0.0
wuf20-026 40 66720 40 39 71.0 15.487645249487354 678.7296877830495 0.0013828125
wuf20-027 40 49500 40 40 71.0 15.487820293816194 678.7262776032836 0.0
wuf20-028 40 68160 40 38 71.0 15.487295081967213 678.7211308371935 0.0016580903373356205
wuf20-029 40 51001 40 40 71.0 15.486787299419596 678.7071639588673 0.0
wuf20-030 40 48690 40 36 71.0 15.486638225255973 678.684551142809 0.002677189724543485
wuf20-031 40 67440 40 37 71.0 15.486472193790515 678.7070224924433 6.590850348927371E-4
wuf20-032 40 48420 40 40 71.0 15.486988403819918 678.6994091203079 0.0
wuf20-033 40 65373 40 34 71.0 15.486183088987385 678.6992353993314 0.0015545863815419247
wuf20-034 40 48870 40 40 71.0 15.486699045671438 678.6862564668886 0.0
wuf20-035 40 80147 40 33 71.0 15.48664395229983 678.6169362769682 0.017610062893081764
wuf20-036 40 32640 40 40 71.0 15.487159400544959 678.6137002435057 0.0
wuf20-037 40 65520 40 29 71.0 15.486831801157644 678.5786445649801 0.0020958083832335337
wuf20-038 40 67320 40 37 71.0 15.486325731790334 678.573979753722 0.004100457850794506
wuf20-039 40 66600 40 28 71.0 15.485922082340933 678.5649784450525 0.0013289036544850497
wuf20-040 40 67499 40 21 71.0 15.485025510204082 678.552265707718 0.023768235617946595
wuf20-041 40 48060 40 40 71.0 15.485880652839171 678.54494975067 0.0
wuf20-042 40 66000 40 40 71.0 15.486055404486743 678.5424523124593 0.0
wuf20-043 40 34020 40 40 71.0 15.484870880054366 678.5879191486938 0.0
wuf20-044 40 51331 40 31 71.0 15.484290081521738 678.5731756720411 0.003554301833568406
wuf20-045 40 49860 40 40 71.0 15.48446519524618 678.5832604094244 0.0
wuf20-046 40 66064 40 39 71.0 15.48463170400543 678.593608451397 5.859872611464968E-4
wuf20-047 40 78599 40 15 71.0 15.484272141160503 678.5538183353443 0.03552224969097651
wuf20-048 40 48150 40 40 71.0 15.484447082767979 678.5296425701298 0.0
wuf20-049 40 49731 40 40 71.0 15.484282807731434 678.517221837112 0.0
wuf20-050 40 66960 40 40 71.0 15.48377966101695 678.502893301499 0.0
wuf20-051 40 48870 40 32 71.0 15.483209081667232 678.503264195873 0.008877086494688923
wuf20-052 40 47610 40 40 71.0 15.483722899728997 678.4638457108399 0.0
wuf20-053 40 47700 40 40 71.0 15.484575008465967 678.4448950657198 0.0
wuf20-054 40 50670 40 39 71.0 15.484072444143534 678.455517094617 1.763177431328879E-4
wuf20-055 40 49950 40 40 71.0 15.48357021996616 678.4801545058732 0.0
wuf20-056 40 49410 40 40 71.0 15.483068335588634 678.4661254829347 0.0
wuf20-057 40 31500 40 40 71.0 15.483919513019952 678.4582863178351 0.0
wuf20-058 40 66600 40 30 71.0 15.483755916159568 678.458352968984 0.0016221374045801529
wuf20-059 40 65040 40 22 71.0 15.483212233862792 678.4249159712812 0.004168539325842696
wuf20-060 40 46710 40 40 71.0 15.4840625 678.3925286488465 0.0
wuf20-061 40 48960 40 39 71.0 15.483907463694697 678.3931624202188 0.0011550823623945358
wuf20-062 40 54387 40 38 71.0 15.48337272113437 678.4084793066762 0.002546965317919075
wuf20-063 40 33240 40 40 71.0 15.483547080661491 678.4447688843042 0.0
wuf20-064 40 50310 40 40 71.0 15.483383940620783 678.4618129993337 0.0
wuf20-065 40 48960 40 40 71.0 15.48389544688027 678.4662770335408 0.0
wuf20-066 40 47250 40 40 71.0 15.484406608226568 678.4341313207924 0.0
wuf20-067 40 50310 40 40 71.0 15.484243343444557 678.4925135042928 0.0
wuf20-068 40 49050 40 40 71.0 15.484754043126685 678.4990108419601 0.0
wuf20-069 40 65040 40 40 71.0 15.485264398787471 678.500472407461 0.0
wuf20-070 40 48870 40 40 71.0 15.48543771043771 678.4795899760671 0.0
wuf20-071 40 51475 40 39 71.0 15.484289801413665 678.4867039806727 5.794523501509271E-4
wuf20-072 40 66720 40 40 71.0 15.4844633243607 678.4937656001987 0.0
wuf20-073 40 47070 40 40 71.0 15.485645812310796 678.4897978601459 0.0
wuf20-074 40 32400 40 40 71.0 15.48581876260928 678.4762564927776 0.0
wuf20-075 40 67320 40 31 71.0 15.484974789915967 678.4560988493978 0.005163329820864067
wuf20-076 40 51423 40 40 71.0 15.484475806451613 678.474541059555 0.0
wuf20-077 40 51120 40 40 71.0 15.48464897547867 678.523960833236 0.0
wuf20-078 40 64260 40 40 71.0 15.484486232370719 678.5259828905658 0.0
wuf20-079 40 33660 40 40 71.0 15.484323598522995 678.584435985938 0.0
wuf20-080 40 49050 40 40 71.0 15.4848322147651 678.6053159963315 0.0
wuf20-081 40 48870 40 40 71.0 15.485340489768534 678.6051484403225 0.0
wuf20-082 40 49410 40 40 71.0 15.485177733065058 678.6478697185115 0.0
wuf20-083 40 49590 40 39 71.0 15.485333556821992 678.6336320532174 5.065717415115006E-4
wuf20-084 40 47520 40 39 71.0 15.48517091152815 678.6378486810084 5.160084511620348E-4
wuf20-085 40 48690 40 40 71.0 15.4856783919598 678.6380624208366 0.0
wuf20-086 40 50400 40 40 71.0 15.485515740120563 678.6503915057202 0.0
wuf20-087 40 66000 40 38 71.0 15.485687981252092 678.6615168211378 0.0014846153846153846
wuf20-088 40 48510 40 40 71.0 15.486194779116467 678.6647295486075 0.0
wuf20-089 40 68160 40 40 71.0 15.485697557711608 678.6877339080307 0.0
wuf20-090 40 32280 40 40 71.0 15.486872909698997 678.724270542481 0.0
wuf20-091 40 49230 40 40 71.0 15.486710130391174 678.7192272628021 0.0
wuf20-092 40 47070 40 40 71.0 15.48788435828877 678.7150996269347 0.0
wuf20-093 40 80649 40 17 71.0 15.487245238890745 678.7022738102514 0.033947278524254144
wuf20-094 40 50050 40 40 71.0 15.487416499665999 678.6992821513821 0.0
wuf20-095 40 49095 40 40 71.0 15.487587646076795 678.6819419892753 0.0
wuf20-096 40 49050 40 40 71.0 15.488426234979974 678.7244745483755 0.0
wuf20-097 40 53340 40 39 71.0 15.48792125458792 678.7111567733616 0.0013504841908762106
wuf20-098 40 50040 40 39 71.0 15.487766844563042 678.7271329712897 5.318028643639427E-4
wuf20-099 40 65407 40 30 71.0 15.486870623541181 678.7354642662535 0.004403679424825545
wuf20-0100 40 66480 40 40 71.0 15.487041666666666 678.7274784716078 0.0
