instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 27150 40 40 71.0 15.491429669485012 679.6029181831935 0.0
wuf20-02 40 22320 40 40 71.0 15.49105222734255 679.6750248270654 0.0
wuf20-03 40 32715 40 39 71.0 15.491462010744437 679.7360307447502 0.0013858229090017169
wuf20-04 40 22097 40 40 71.0 15.491085122699387 679.768562411118 0.0
wuf20-05 40 41814 40 38 71.0 15.489942528735632 679.6824852168071 0.003441203281677302
wuf20-06 40 26775 40 40 71.0 15.491864471669219 679.634870061987 0.0
wuf20-07 40 37260 40 33 71.0 15.491488140780413 679.6533464256115 0.0027926754520380018
wuf20-08 40 48438 40 12 71.0 15.490118501529052 679.5896956173153 0.005205746718694571
wuf20-09 40 21614 40 40 71.0 15.491271963330787 679.5888904162739 0.0
wuf20-010 40 26250 40 40 71.0 15.493187022900763 679.5464467760241 0.0
wuf20-011 40 31860 40 38 71.0 15.49279176201373 679.4799724653103 0.00349160393746381
wuf20-012 40 29484 40 39 71.0 15.490891768292682 679.5026397589342 0.0015469935785172213
wuf20-013 40 22200 40 40 71.0 15.491279512566642 679.6578211802462 0.0
wuf20-014 40 27750 40 40 71.0 15.491666666666667 679.7591337039611 0.0
wuf20-015 40 39270 40 39 71.0 15.4912927756654 679.7942642123327 2.2530980097634247E-4
wuf20-016 40 32896 40 40 71.0 15.490919452887537 679.7996186528744 0.0
wuf20-017 40 21000 40 40 71.0 15.492824601366742 679.7840387772346 0.0
wuf20-018 40 31222 40 20 71.0 15.492185128983309 679.7827266789774 0.007739384748700173
wuf20-019 40 38145 40 28 71.0 15.491963608794542 679.7453361761097 0.01203274803404072
wuf20-020 40 31086 40 39 71.0 15.492348484848485 679.7359851136288 0.001707014276846679
wuf20-021 40 38629 40 39 71.0 15.492694928084784 679.7114156942906 0.002013034794491748
wuf20-022 40 27900 40 40 71.0 15.49232223903177 679.7539675999392 0.0
wuf20-023 40 11040 40 40 71.0 15.493461829176114 679.8530705516198 0.0
wuf20-024 40 44887 40 29 71.0 15.491389728096676 679.8744020750738 0.007120928990923652
wuf20-025 40 16425 40 40 71.0 15.492528301886793 679.9414818486309 0.0
wuf20-026 40 44850 40 36 71.0 15.492043740573152 679.8874284435152 0.0037031250000000003
wuf20-027 40 26071 40 38 71.0 15.492407686510926 679.8777936814888 0.0024649899971420407
wuf20-028 40 46107 40 30 71.0 15.49109563253012 679.8621103162401 0.00859777015437393
wuf20-029 40 35572 40 38 71.0 15.489936042136945 679.8293277784904 0.0023837902264600714
wuf20-030 40 26313 40 37 71.0 15.489624060150376 679.7782754954015 0.0035283194057567314
wuf20-031 40 39060 40 32 71.0 15.489218632607063 679.8245070690324 0.0050077539415869735
