instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 13122 40 40 71.0 15.489315108759554 679.393061319357 0.0
wuf20-02 40 13447 40 40 71.0 15.489027614571093 679.4483449310991 0.0
wuf20-03 40 16524 40 33 71.0 15.489430416911333 679.4914480088893 0.009700760363012019
wuf20-04 40 9810 40 40 71.0 15.489143192488262 679.5164866683256 0.0
wuf20-05 40 20377 40 31 71.0 15.487947214076247 679.4449888428906 0.020726982680036466
wuf20-06 40 12792 40 39 71.0 15.489405041031652 679.4077420085944 0.002587527997170812
wuf20-07 40 16840 40 36 71.0 15.489118336262448 679.4219127468566 0.003057002758197977
wuf20-08 40 22687 40 6 71.0 15.488231850117096 679.3712451368301 0.011081057112451225
wuf20-09 40 12920 40 36 71.0 15.489057928613224 679.3688922214184 0.004701707695719671
wuf20-010 40 12480 40 40 71.0 15.490526315789474 679.3365055719843 0.0
wuf20-011 40 15671 40 36 71.0 15.490166569257743 679.2847856053216 0.006111754487550666
wuf20-012 40 15594 40 34 71.0 15.48871203271028 679.2984714641076 0.010717065576960496
wuf20-013 40 9982 40 40 71.0 15.489010507880911 679.4175358975446 0.0
wuf20-014 40 13200 40 40 71.0 15.489308634772462 679.4953450815842 0.0
wuf20-015 40 16816 40 39 71.0 15.48902332361516 679.5224356979872 2.2530980097634247E-4
wuf20-016 40 16443 40 35 71.0 15.488752913752913 679.5241446931968 0.00639454094292804
wuf20-017 40 9360 40 40 71.0 15.490215492137448 679.512354814188 0.0
wuf20-018 40 15714 40 17 71.0 15.4898282887078 679.5087842053209 0.014593262564991332
wuf20-019 40 19278 40 16 71.0 15.489703315881327 679.476149112538 0.023106754282020896
wuf20-020 40 17334 40 35 71.0 15.48985465116279 679.467573344873 0.005715911442168426
wuf20-021 40 19440 40 33 71.0 15.489947704822777 679.4443255595412 0.014091243561442238
wuf20-022 40 13403 40 40 71.0 15.48966318234611 679.4771482711568 0.0
wuf20-023 40 6621 40 40 71.0 15.490539756239118 679.5534048146287 0.0
wuf20-024 40 23136 40 15 71.0 15.488674593967517 679.5611030108253 0.028563801388147354
wuf20-025 40 9801 40 39 71.0 15.489550724637681 679.6119341963011 0.0019670388091440724
wuf20-026 40 20519 40 35 71.0 15.489078794901506 679.5696329598019 0.0064375000000000005
wuf20-027 40 13608 40 37 71.0 15.489316734221193 679.5618805942823 0.0038439554158330954
wuf20-028 40 23352 40 23 71.0 15.488208912037036 679.5461368764867 0.018682104059462558
wuf20-029 40 18648 40 29 71.0 15.48718912666281 679.5171703416263 0.013110846245530394
wuf20-030 40 14548 40 27 71.0 15.487052023121388 679.4746995463402 0.013130609718353448
wuf20-031 40 19813 40 24 71.0 15.486683997689196 679.50767365672 0.011404755750840007
wuf20-032 40 15741 40 39 71.0 15.487557736720554 679.4941038726757 5.795187793427231E-4
wuf20-033 40 18398 40 22 71.0 15.48636757068667 679.492886033042 0.0027433877321328074
wuf20-034 40 13080 40 39 71.0 15.48719723183391 679.4699127094113 0.0015038713519952352
wuf20-035 40 25519 40 28 71.0 15.48678674351585 679.3485376879505 0.03075864779874214
wuf20-036 40 10272 40 40 71.0 15.487658410138248 679.3426433356136 0.0
wuf20-037 40 20463 40 17 71.0 15.487406447898676 679.28252675637 0.003372202962496062
wuf20-038 40 20295 40 35 71.0 15.486550632911392 679.2730301234911 0.007244815513062214
wuf20-039 40 18802 40 16 71.0 15.485997699827488 679.2562632996503 0.0044019933554817255
wuf20-040 40 21945 40 9 71.0 15.484626436781609 679.22419612895 0.05080511973575558
wuf20-041 40 12915 40 40 71.0 15.486071223434807 679.2114516372257 0.0
wuf20-042 40 19521 40 39 71.0 15.486337543053962 679.2051944836597 0.004306188052504688
wuf20-043 40 10416 40 40 71.0 15.48433734939759 679.2815835581674 0.0
wuf20-044 40 16995 40 19 71.0 15.483414564220183 679.2515366138944 0.016600846262341328
wuf20-045 40 13080 40 40 71.0 15.483710601719197 679.2681676687135 0.0
wuf20-046 40 18312 40 26 71.0 15.483820160366552 679.2813457375257 0.010171974522292992
wuf20-047 40 24235 40 6 71.0 15.483614768174013 679.2076464699687 0.054117737948084055
wuf20-048 40 15513 40 24 71.0 15.484139016018307 679.1657194468474 0.0022505182114302635
wuf20-049 40 15714 40 35 71.0 15.483776443682103 679.1417165681952 0.007358729266235592
wuf20-050 40 23182 40 21 71.0 15.482871428571428 679.099507276968 0.0487566789971229
wuf20-051 40 13080 40 24 71.0 15.482367218732152 679.096320511259 0.017754172989377846
wuf20-052 40 15678 40 40 71.0 15.483233447488585 679.0295645614069 0.0
wuf20-053 40 12870 40 40 71.0 15.484669138619509 678.9973187120686 0.0
wuf20-054 40 14901 40 29 71.0 15.483808437856329 679.0122072658844 0.006820712694877507
wuf20-055 40 19374 40 32 71.0 15.483190883190883 679.0476460388868 0.013397790055248618
wuf20-056 40 16362 40 39 71.0 15.48233200455581 679.0236367334533 1.934826883910387E-4
wuf20-057 40 9270 40 40 71.0 15.483764940239045 679.0101262482797 0.0
wuf20-058 40 20682 40 23 71.0 15.483475540386804 679.0083071640471 0.005811068702290074
wuf20-059 40 18698 40 15 71.0 15.482703240477544 678.9483697119824 0.014393258426966291
wuf20-060 40 12240 40 40 71.0 15.484133522727273 678.8936027073489 0.0
wuf20-061 40 13722 40 37 71.0 15.48390119250426 678.8934916822062 0.003465247087183608
wuf20-062 40 18732 40 25 71.0 15.482619182746879 678.9088161976869 0.027203757225433535
wuf20-063 40 9891 40 40 71.0 15.482912648893931 678.9695227669555 0.0
wuf20-064 40 16500 40 37 71.0 15.482596371882087 678.9968635750296 0.002424321503131524
wuf20-065 40 13321 40 39 71.0 15.483456090651558 679.0035478986499 0.0013073442760942761
