instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 40 21720 40 40 71.0 15.489686285397001 679.3698700200188 0.0
wuf20-02 40 22459 40 40 71.0 15.489414539400666 679.422098598534 0.0
wuf20-03 40 27557 40 37 71.0 15.489739323349973 679.4651598042565 0.004157468727005151
wuf20-04 40 16607 40 40 71.0 15.489467849223947 679.4888250835713 0.0
wuf20-05 40 33120 40 39 71.0 15.48860110803324 679.4270878446384 0.002358705560619872
wuf20-06 40 21131 40 40 71.0 15.48999169435216 679.3927965961208 0.0
wuf20-07 40 28014 40 39 71.0 15.489720531267293 679.407247699013 3.48605577689243E-4
wuf20-08 40 38088 40 11 71.0 15.488675331858406 679.361279774355 0.0053742461865909875
wuf20-09 40 21345 40 38 71.0 15.489483139856274 679.3602938602082 0.001413838988689288
wuf20-010 40 21000 40 40 71.0 15.490870165745857 679.3297012788983 0.0
wuf20-011 40 26682 40 40 71.0 15.490599116510216 679.2828437908253 0.0
wuf20-012 40 25373 40 33 71.0 15.48919701986755 679.2951888957501 0.012215411558669
wuf20-013 40 16650 40 40 71.0 15.489478764478765 679.4076878792282 0.0
wuf20-014 40 22200 40 40 71.0 15.48976019845645 679.4812131214898 0.0
wuf20-015 40 28050 40 40 71.0 15.489490358126721 679.5069089427227 0.0
wuf20-016 40 27300 40 40 71.0 15.489220814977974 679.5109473783077 0.0
wuf20-017 40 15750 40 40 71.0 15.490602641717116 679.4998136276512 0.0
wuf20-018 40 26064 40 23 71.0 15.49015401540154 679.4993927531092 0.0067428509532062395
wuf20-019 40 32037 40 23 71.0 15.489939527212755 679.4714707858167 0.014787784121512442
wuf20-020 40 28914 40 36 71.0 15.490123626373625 679.4635983548401 0.005090006207324643
wuf20-021 40 32760 40 34 71.0 15.490280065897858 679.4424966755892 0.011652475559760329
wuf20-022 40 22320 40 39 71.0 15.490010976948408 679.4733567654579 4.019980970504281E-4
wuf20-023 40 11040 40 40 71.0 15.490839275918814 679.5454323638714 0.0
wuf20-024 40 38902 40 17 71.0 15.489172149122806 679.5565380924926 0.018766684463427656
wuf20-025 40 16697 40 40 71.0 15.49 679.6054140179424 0.0
wuf20-026 40 36018 40 36 71.0 15.48962212486309 679.5665491117094 0.00309375
wuf20-027 40 22522 40 38 71.0 15.48988779419814 679.559726752718 0.0024649899971420407
wuf20-028 40 38634 40 32 71.0 15.48894967177243 679.5482164948301 0.009398227558604918
wuf20-029 40 30690 40 36 71.0 15.488080918534719 679.5237374760147 0.004767580452920143
wuf20-030 40 22956 40 29 71.0 15.487882513661202 679.4854399576873 0.007590529247910862
wuf20-031 40 32503 40 35 71.0 15.487547788093938 679.5171771034472 0.010002584647195657
wuf20-032 40 26700 40 40 71.0 15.488373362445415 679.5045501592772 0.0
wuf20-033 40 32257 40 27 71.0 15.487193126022913 679.5042363781288 4.642656162070906E-4
wuf20-034 40 21614 40 40 71.0 15.488017993456925 679.4830339851305 0.0
wuf20-035 40 43011 40 31 71.0 15.487820163487738 679.3695097345426 0.026031839622641512
wuf20-036 40 16470 40 40 71.0 15.488643790849673 679.3639250026779 0.0
wuf20-037 40 34425 40 16 71.0 15.488350571584105 679.3061604565248 0.0062716671919319286
wuf20-038 40 33438 40 35 71.0 15.487527203482045 679.29673297859 0.008443307298680312
wuf20-039 40 32253 40 22 71.0 15.486935834692767 679.2806809627297 0.004921096345514949
wuf20-040 40 36907 40 25 71.0 15.485421195652174 679.2611760800058 0.020410129369666935
wuf20-041 40 21120 40 40 71.0 15.486787072243345 679.2491037605909 0.0
wuf20-042 40 32760 40 40 71.0 15.48706568946797 679.2447326328895 0.0
wuf20-043 40 17625 40 40 71.0 15.485173629951166 679.3169554319767 0.0
wuf20-044 40 29434 40 26 71.0 15.48431399132321 679.2906996300782 0.010282087447108602
