instance runsPerInstance avrgIterations satisfied satisfiendMaximum avrgSatisfiedCloses selectedVariables avrgHeuristicValue avrgDifference
wuf20-01 10 31920 10 10 91.0 9.0 738.4867106102487 0.0
wuf20-02 10 23670 10 10 91.0 10.0 752.4797151551868 0.0
wuf20-03 10 8820 10 10 91.0 11.666666666666666 1001.9864767701245 0.0
wuf20-04 10 7890 10 10 91.0 11.0 951.7524393591739 0.0
wuf20-05 10 7980 10 10 91.0 10.6 931.6027059196291 0.0
wuf20-06 10 8610 10 10 91.0 11.166666666666666 993.1711488703937 0.0
wuf20-07 10 8220 10 10 91.0 11.285714285714286 993.6633749256971 0.0
wuf20-08 10 7320 10 10 91.0 10.75 938.331590457619 0.0
wuf20-09 10 8370 10 10 91.0 10.777777777777779 956.4058581845502 0.0
wuf20-010 10 16860 10 10 91.0 11.0 970.8669672813496 0.0
wuf20-011 10 41400 10 10 91.0 11.090909090909092 966.0316035377443 0.0
wuf20-012 10 16140 10 10 91.0 11.166666666666666 957.3990264067746 0.0
wuf20-013 10 22680 10 10 91.0 10.846153846153847 931.9067936062535 0.0
wuf20-014 10 8280 10 10 91.0 10.928571428571429 940.4140565326834 0.0
wuf20-015 10 7620 10 10 91.0 11.0 921.7087718509446 0.0
wuf20-016 10 33480 10 10 91.0 11.0625 929.1642078224647 0.0
wuf20-017 10 8670 10 10 91.0 11.235294117647058 946.6254494656081 0.0
wuf20-018 10 8610 10 10 91.0 11.333333333333334 966.3129244952966 0.0
wuf20-019 10 8280 10 10 91.0 11.31578947368421 970.7706985487969 0.0
wuf20-020 10 24030 10 10 91.0 11.25 962.2811004701767 0.0
wuf20-021 10 50220 10 10 91.0 11.238095238095237 959.364977878607 0.0
wuf20-022 10 23400 10 10 91.0 11.136363636363637 947.6230482499071 0.0
wuf20-023 10 31560 10 10 91.0 11.08695652173913 937.9874946632112 0.0
wuf20-024 10 36507 10 10 91.0 11.166666666666666 938.5327832431866 0.0
wuf20-025 10 8910 10 10 91.0 11.36 965.0314719134591 0.0
wuf20-026 10 8280 10 10 91.0 11.346153846153847 968.3383626672415 0.0
wuf20-027 10 33480 10 10 91.0 11.407407407407407 971.19239343071 0.0
wuf20-028 10 24300 10 10 91.0 11.357142857142858 968.0920195295505 0.0
wuf20-029 10 6420 10 10 91.0 11.068965517241379 945.0888464423246 0.0
wuf20-030 10 8460 10 10 91.0 11.166666666666666 951.0675036642049 0.0
wuf20-031 10 8220 10 10 91.0 11.129032258064516 952.6782293524564 0.0
wuf20-032 10 8070 10 10 91.0 11.0625 951.063284685192 0.0
wuf20-033 10 7530 10 10 91.0 10.969696969696969 941.0055821303331 0.0
wuf20-034 10 16440 10 10 91.0 11.029411764705882 940.8126061314241 0.0
wuf20-035 10 8250 10 10 91.0 11.057142857142857 941.9634353416163 0.0
wuf20-036 10 49860 10 10 91.0 11.11111111111111 942.91265547842 0.0
wuf20-037 10 8220 10 10 91.0 11.08108108108108 944.4825837087329 0.0
wuf20-038 10 7890 10 10 91.0 11.105263157894736 939.1295325295672 0.0
wuf20-039 10 16620 10 10 91.0 11.102564102564102 941.5713675811651 0.0
wuf20-040 10 7890 10 10 91.0 11.05 938.0581246244552 0.0
wuf20-041 10 8490 10 10 91.0 11.073170731707316 944.4713410970295 0.0
wuf20-042 10 8220 10 10 91.0 11.071428571428571 945.8184598120132 0.0
wuf20-043 10 8430 10 10 91.0 11.093023255813954 950.590708736458 0.0
wuf20-044 10 7890 10 10 91.0 11.068181818181818 947.1920636998645 0.0
wuf20-045 10 8370 10 10 91.0 11.088888888888889 948.3900323788149 0.0
wuf20-046 10 41700 10 10 91.0 11.08695652173913 947.6728859031527 0.0
wuf20-047 10 8280 10 10 91.0 11.106382978723405 949.8729413241385 0.0
wuf20-048 10 8370 10 10 91.0 11.104166666666666 953.0214217132191 0.0
wuf20-049 10 7590 10 10 91.0 11.020408163265307 946.8582327713807 0.0
wuf20-050 10 8070 10 10 91.0 10.98 945.9410681159532 0.0
wuf20-051 10 8280 10 10 91.0 11.0 948.0015405757019 0.0
wuf20-052 10 8430 10 10 91.0 11.038461538461538 951.4228941709559 0.0
wuf20-053 10 7980 10 10 91.0 11.0 949.528597367035 0.0
wuf20-054 10 7950 10 10 91.0 11.0 947.3083665801769 0.0
wuf20-055 10 8070 10 10 91.0 11.018181818181818 946.4665334482258 0.0
wuf20-056 10 8190 10 10 91.0 11.017857142857142 946.3414338889544 0.0
wuf20-057 10 8400 10 10 91.0 11.052631578947368 948.8792372915792 0.0
wuf20-058 10 8310 10 10 91.0 11.086206896551724 950.0242322963277 0.0
wuf20-059 10 8070 10 10 91.0 11.05084745762712 949.1933131048645 0.0
wuf20-060 10 17040 10 10 91.0 11.083333333333334 953.1124601371725 0.0
wuf20-061 10 8370 10 10 91.0 11.081967213114755 955.5368460365632 0.0
wuf20-062 10 15660 10 10 91.0 11.048387096774194 951.2615440881631 0.0
wuf20-063 10 8550 10 10 91.0 11.11111111111111 955.7547071750024 0.0
wuf20-064 10 8400 10 10 91.0 11.140625 958.0240469953482 0.0
wuf20-065 10 31920 10 10 91.0 11.123076923076923 955.6085245592004 0.0
wuf20-066 10 8550 10 10 91.0 11.166666666666666 959.705507981085 0.0
wuf20-067 10 24660 10 10 91.0 11.17910447761194 959.3022340734201 0.0
wuf20-068 10 8340 10 10 91.0 11.205882352941176 960.4061566556427 0.0
wuf20-069 10 8130 10 10 91.0 11.18840579710145 960.2699323825481 0.0
wuf20-070 10 16440 10 10 91.0 11.2 959.3817918277316 0.0
wuf20-071 10 31800 10 10 91.0 11.169014084507042 956.2118442691391 0.0
wuf20-072 10 7560 10 10 91.0 11.125 951.9730692853501 0.0
wuf20-073 10 8550 10 10 91.0 11.150684931506849 956.0694201418811 0.0
wuf20-074 10 7890 10 10 91.0 11.108108108108109 953.973887437261 0.0
wuf20-075 10 16440 10 10 91.0 11.12 953.7675466653909 0.0
wuf20-076 10 8070 10 10 91.0 11.092105263157896 953.0732368408463 0.0
wuf20-077 10 16380 10 10 91.0 11.090909090909092 951.7473500580257 0.0
wuf20-078 10 8280 10 10 91.0 11.115384615384615 953.020248250366 0.0
wuf20-079 10 16260 10 10 91.0 11.126582278481013 952.2594224161845 0.0
wuf20-080 10 8400 10 10 91.0 11.1625 954.0082626909065 0.0
wuf20-081 10 8130 10 10 91.0 11.148148148148149 953.9712061368472 0.0
wuf20-082 10 25290 10 10 91.0 11.170731707317072 955.6357420170881 0.0
wuf20-083 10 32280 10 10 91.0 11.168674698795181 954.1739017847109 0.0
wuf20-084 10 8430 10 10 91.0 11.19047619047619 956.5173945913601 0.0
wuf20-085 10 8670 10 10 91.0 11.223529411764705 961.1584734688859 0.0
wuf20-086 10 47700 10 10 91.0 11.209302325581396 957.7459191135282 0.0
wuf20-087 10 25200 10 10 91.0 11.25287356321839 959.1055274815769 0.0
wuf20-088 10 24030 10 10 91.0 11.25 956.871906269088 0.0
wuf20-089 10 7710 10 10 91.0 11.224719101123595 953.7562728026097 0.0
wuf20-090 10 49500 10 10 91.0 11.22888888888889 951.2653300889305 0.0
wuf20-091 10 7680 10 10 91.0 11.182417582417582 948.5151616264147 0.0
wuf20-092 10 8490 10 10 91.0 11.202173913043477 951.2597598518038 0.0
wuf20-093 10 46980 10 9 91.0 11.186021505376344 947.8163217695082 0.005269660661437232
wuf20-094 10 8280 10 10 91.0 11.184042553191489 948.9141172738862 0.0
wuf20-095 10 8700 10 10 91.0 11.22421052631579 953.6729160394243 0.0
wuf20-096 10 7890 10 10 91.0 11.190625 952.0825731640136 0.0
wuf20-097 10 7800 10 10 91.0 11.168041237113401 949.7518863080161 0.0
wuf20-098 10 16560 10 10 91.0 11.166326530612245 949.8668329249787 0.0
wuf20-099 10 40650 10 10 91.0 11.154545454545454 948.5071922542833 0.0
wuf20-0100 10 8610 10 10 91.0 11.183 951.2821203317404 0.0
wuf20-0101 10 8130 10 10 91.0 11.181188118811882 951.2794109678251 0.0
wuf20-0102 10 8430 10 10 91.0 11.199019607843137 953.2375390424179 0.0
wuf20-0103 10 8370 10 10 91.0 11.197087378640777 954.6721260420061 0.0
wuf20-0104 10 16740 10 10 91.0 11.214423076923078 955.7231926266735 0.0
wuf20-0105 10 7890 10 10 91.0 11.183809523809524 954.2496384111814 0.0
wuf20-0106 10 8070 10 10 91.0 11.163207547169812 953.7472833318307 0.0
wuf20-0107 10 8370 10 10 91.0 11.161682242990654 955.1234769455518 0.0
wuf20-0108 10 42993 10 10 91.0 11.178703703703704 954.6223336405004 0.0
wuf20-0109 10 7980 10 10 91.0 11.158715596330275 953.6716700291197 0.0
wuf20-0110 10 8220 10 10 91.0 11.202727272727273 953.7712650165283 0.0
wuf20-0111 10 8280 10 10 91.0 11.227927927927928 954.518401276113 0.0
wuf20-0112 10 8550 10 10 91.0 11.252678571428572 956.8467024753735 0.0
wuf20-0113 10 8370 10 10 91.0 11.250442477876106 958.1223953738215 0.0
wuf20-0114 10 8250 10 10 91.0 11.257017543859648 958.2959426044115 0.0
wuf20-0115 10 31680 10 10 91.0 11.237391304347826 956.3846735382862 0.0
wuf20-0116 10 32880 10 10 91.0 11.226724137931035 954.7579646343189 0.0
wuf20-0117 10 8130 10 10 91.0 11.216239316239315 954.7258452784699 0.0
wuf20-0118 10 8220 10 10 91.0 11.23135593220339 954.8002025218727 0.0
wuf20-0119 10 7680 10 10 91.0 11.204201680672268 952.6674989256913 0.0
wuf20-0120 10 8340 10 10 91.0 11.219166666666666 953.6093940617618 0.0
wuf20-0121 10 42450 10 10 91.0 11.23388429752066 954.6208866728216 0.0
